City of Cupertino,seeks to secure,a firm to provide a citywide AI chatbot solution and support services,Strategic objective,MUST,The City is seeking to secure a firm with the required experience<ET> qualifications<ET> expertise<ET> and resources to perform the services identified in this Request for Proposal.,True
Contractor,must process personal data,in compliance with Regulation (EU) 2018/1725 and follow instructions from the Commission,Compliance,MUST,When the contractor processes personal data in the context of the present contract<ET> the contractor must respect Regulation (EU) 2018/1725.,True
Project manager,must oversee,implementation of the AI Act Service Desk ensuring effective communication<ET> resource allocation<ET> and quality control,Governance,MUST,Will oversee the implementation of the AI Act Service Desk<ET> ensuring effective communication<ET> resource allocation<ET> and timeline management. Will be responsible for reporting and quality control and for organising and maintaining the knowledge base.,True
Eurostat and Cedefop,need to strengthen,the Web Intelligence Hub as a cutting-edge tool for harnessing web data for European labour market statistics,Strategic objective,MUST,The general objective is to strengthen the position of the WIH as a cutting-edge tool for Eurostat and European Commission policy DGs and Agencies<ET> empowering them to harness the full potential of web data.,True
Contractor,must design<ET> execute<ET> monitor<ET> and evaluate,the core OJA pipeline including web content retrieval<ET> data extraction<ET> and integration from heterogeneous online sources,Functional,MUST,They aim at designing<ET> executing<ET> monitoring and evaluating the core functions of the OJA pipeline in the context of the Web Intelligence Hub i.e. web content retrieval and data extraction<ET> integration of data from heterogeneous online sources.,True
System,must ensure,data quality and perform data curation<ET> cleansing<ET> processing<ET> and transformation of unstructured web data,Data quality,MUST,Ensuring data quality and performing data curation/cleansing<ET> processing and transforming unstructured or semi-structured web data.,True
System,must perform,text analysis and NLP including sentiment analysis<ET> topic modelling<ET> named entity recognition<ET> and machine translation,Functional,MUST,Text analysis and natural language processing (NLP) such as sentiment analysis<ET> topic modelling<ET> named entity recognition<ET> and machine translation.,True
Contractor,must deploy,NLP-based services and manage API integration,Functional,MUST,Deployment of NLP-based services<ET> API integration and management.,True
Contractor,must perform,user requirement gathering and business analysis to support the WIH evolution,Analysis,MUST,User requirement gathering<ET> business analysis<ET> drafting or publishing technical documentation<ET> and project management.,True
System,must improve,the OJA Data Production System through short-cycle iterations focusing on data processing speed<ET> efficiency<ET> and algorithm accuracy,Quality,MUST,Implement short-cycle iterations to refine the OJA DPS<ET> focusing on improving data processing speed and efficiency<ET> enhancing the accuracy of algorithms<ET> and reducing system downtime.,True
Contractor,must establish,mechanisms to gather and incorporate user feedback into system improvements,Quality,MUST,Establish mechanisms to gather and incorporate user feedback.,True
System,must extend,coverage to all EEA Member States for the Online Job Advertisement data production,Functional,MUST,The OJA DPS extending to all EEA Member-States.,True
Contractor,must develop,new classification models for education field<ET> emerging skills<ET> and green skills taxonomy,Functional,MUST,Development of new classification models for 'Education field' and the identification of emerging skills. Developing taxonomies for green skills and occupations to align with the European Green Deal.,True
System,must develop,web applications to provide skills intelligence insights to stakeholders,Functional,MUST,Web applications like 'Top & Trending Skills' and Skills OVATE provide insights into labor market demands.,True
Texas Higher Education Coordinating Board,seeks to continue,the development and deployment of the ADVi AI chatbot for advising Texas students,Strategic objective,MUST,THECB seeks one or more vendors to continue the development and deployment of ADVi as well as provide continuous maintenance and support for the ADVi chatbot including any necessary patching and bug fixes.,True
ADVi chatbot,must provide,two-way communication with the ability to be reactive and proactive via text message,Functional,MUST,ADVi currently uses AI technology to provide two-way communication with the ability to be reactive (responding to students who reach out with a question) as well as proactive (nudging students regularly to provide support<ET> reminders<ET> and resources) via text message.,True
ADVi chatbot,must learn,from every interaction fuelled by a knowledge base and campaign library that is constantly growing,Functional,MUST,ADVi learns with every interaction and is fuelled by a knowledge base and campaign library that is constantly growing.,True
ADVi system,must be supported by,a team of trained virtual advisors who provide extra support for any student who needs it,Collaboration,MUST,ADVi is supported by a team of trained virtual advisors<ET> provided by THECB<ET> who provide extra support for any student who needs it.,True
ADVi chatbot,must provide,timely and accurate advising information to Texans looking to begin or complete their postsecondary journey,Functional,MUST,ADVi enables THECB to provide timely<ET> accurate advising information to Texans who are looking to begin or complete their postsecondary journey.,True
Vendor,must provide,continuous maintenance and support including any necessary patching and bug fixes,Maintenance,MUST,THECB seeks one or more vendors to continue the development and deployment of ADVi as well as provide continuous maintenance and support for the ADVi chatbot including any necessary patching and bug fixes.,True
ADVi chatbot,must comply with,FERPA confidentiality and data governance provisions for student education records,Compliance,MUST,FERPA Confidentiality and Data Governance Provisions apply throughout the contract.,True
ADVi chatbot,must be accessible to,displaced workers and adults seeking to reconsider their postsecondary options or reskill,Accessibility,MUST,ADVi must be accessible to Texans who may wish to reconsider their postsecondary options<ET> as well as displaced workers seeking to find the right training or skills-based program to enhance their job prospects.,True
Vendor,must meet,acceptance criteria verified through acceptance testing for all technical deliverables,Quality,MUST,Acceptance Criteria describe the standard to be met by the Vendor to fulfill the contract obligations.,True
Vendor,must partner with,THECB to ensure all Texans are supported with critical information as they navigate their postsecondary journey,Collaboration,MUST,Awarded Respondent and THECB will partner to ensure that all Texans are supported with the critical information that is needed as those students navigate their postsecondary journey.,True
Covered California,needs to procure,AI and GenAI consultancy services to develop a technology assessment and strategic roadmap,Strategic objective,MUST,Potential Proposers are invited to review and respond to this Request for Proposal for General Artificial Intelligence (GAI) and Artificial Intelligence (AI) Consultancy Services.,True
Proposer,must be,both responsive (fully compliant) and responsible (capable and qualified to perform work),Selection,MUST,Proposers are required to be both responsive (fully compliant) and responsible (capable and qualified to perform work) relative to the solicitation requirements.,True
Project team,must meet,minimum qualifications specified in Section 2.1 of the RFP,Selection,MUST,Project Team Minimum Qualifications are specified in Section 2.1.,True
Vendor,must complete,all scope of work requirements as described in Section 3.3 of the RFP,Functional,MUST,Scope of Work requirements are described in detail in Section 3.3.,True
Contract,must not exceed,$3<ET>000<ET>000.00 in total proposed costs over the contract term,Budget,MUST,Proposal submissions shall not exceed $3<ET>000<ET>000.00 in total proposed costs.,True
Vendor,must deliver,contract completion criteria as defined in Section 3.4,Quality,MUST,Contract Completion Criteria are defined in Section 3.4.,True
Vendor,must comply with,project assumptions and constraints outlined in Section 3.5,Compliance,MUST,Project Assumptions and Constraints are outlined in Section 3.5.,True
Proposer,must submit,a proposal package containing all required attachments<ET> documents<ET> narrative responses<ET> and model contract exhibits,Administrative,MUST,Proposers must submit a proposal package that contains all required attachments<ET> documents<ET> narrative responses<ET> and Model Contract exhibits.,True
Proposals,must be prepared to,provide a straightforward<ET> concise delineation of the proposer's capabilities to satisfy the requirements,Quality,MUST,Narrative portions of proposals should be prepared to provide a straightforward<ET> concise delineation of the Proposer's capabilities to satisfy the requirements of this RFP.,True
Vendor,must meet,technical requirements as evaluated in Phase Two of the evaluation process,Selection,MUST,Phase Two evaluates Technical Requirements as stated in the procurement documents.,True
Texas Higher Education Coordinating Board,seeks to deploy,a hybrid AI chatbot and human advising system for postsecondary student support,Strategic objective,MUST,The Advise TX Hybrid Program RFP combines AI chatbot services with case management integration to support student advising.,True
Hybrid advising system,must integrate,AI chatbot services with FERPA-compliant case management via real-time message transfer,Integration,MUST,Requires FERPA-compliant case management<ET> real-time message transfer via webhook<ET> and escalation services.,True
AI chatbot,must enable,seamless escalation from automated messaging to human advisors when needed,Functional,MUST,Escalation services from automated chatbot to human advisors must be seamlessly supported.,True
System,must handle,both inbound student inquiries and proactive outreach campaigns,Functional,MUST,The solution must handle inbound student queries and support proactive outreach nudge campaigns.,True
System,must comply with,FERPA data protection requirements for student education records throughout the contract,Compliance,MUST,All student data must be handled in strict compliance with FERPA requirements.,True
Vendor,must provide,ongoing platform maintenance<ET> technical support<ET> and system enhancements,Maintenance,MUST,Ongoing platform maintenance and technical support is a required deliverable under the contract.,True
Case management integration,must support,continuity of advising context across multiple student interactions and sessions,Functional,MUST,Case management integration must support the continuity of advising context across multiple interactions and sessions.,True
System,must generate,actionable analytics on student engagement<ET> outreach campaign performance<ET> and chatbot outcomes,Analytics,MUST,Analytics on student engagement and chatbot performance are required deliverables.,True
Vendor,must deliver,staff training on the hybrid AI-human advising model,Training,MUST,Staff training on the hybrid chatbot-human advising model is a required deliverable.,True
Vendor,must partner with,THECB to ensure equitable and effective advising support for all Texas students,Collaboration,MUST,The vendor will partner with THECB to ensure that all Texans receive the advising support they need.,True
Crown Commercial Service,seeks to establish,a Dynamic Purchasing System providing a comprehensive range of AI services to UK public sector organisations,Strategic objective,MUST,Crown Commercial Service (CCS) is seeking to establish a Dynamic Purchasing Agreement (DPS) for the provision of Artificial Intelligence for all UK central government departments<ET> wider public sector organisations and charities.,True
RM6200 DPS,must provide,central government and wider public sector with opportunity to procure an extensive range of AI services,Functional,MUST,The RM6200 Artificial Intelligence DPS Agreement will provide central government and wider public sector departments with the opportunity to procure an extensive range of artificial intelligence services via a comprehensive number of suppliers.,True
AI suppliers,must indicate,which categories and services they are able to bid for upon application to join the DPS,Administrative,MUST,Upon application to join the RM6200 DPS Agreement<ET> bidders are required to indicate which categories and services they are able to bid for.,True
DPS,must allow,new bidders to apply to join at any point during the agreement duration,Functional,MUST,A DPS eliminates unnecessary activity for the bidder. Bidders can apply to join the DPS at any point.,True
DPS,must support,localism and social value by enabling appointed suppliers to bid for business locally<ET> regionally or nationally,Social value,MUST,Supports localism and Social Value – enabling appointed suppliers to bid for business either locally<ET> regionally or nationally.,True
DPS,must drive,savings through the call for competition procedure and reduce customer costs and process cycle time,Functional,MUST,Savings – drives savings through the 'Call for Competition' procedure. Efficiencies – reduces Customers costs and process cycle time.,True
Customers,must be able to,create bespoke specifications<ET> competitions and contracts tailored to their AI needs,Functional,MUST,Dynamic – Customers can create bespoke specifications<ET> competitions and contracts.,True
AI services,must cover,the full scope of engagement including AI Readiness<ET> Use Case Pilots<ET> AI Safety<ET> Design and Build<ET> and Implementation,Functional,MUST,The four distinct categories comprise: Scope of Engagement including AI Readiness<ET> Applicability and Value Analyses<ET> Use Case Pilots<ET> Research and Development<ET> AI Safety<ET> Design and Build<ET> Implementation.,True
AI suppliers,must comply with,the Centre for Data Ethics and Innovation's Data Ethics Framework and the Guidelines for AI Procurement,Governance,MUST,Suppliers shall comply with the Centre for Data Ethics and Innovation's guidelines for the ethical use of data<ET> including for AI. The Office for AI published Guidelines for AI Procurement in June 2020.,True
AI solutions,must enable,public sector organisations to commit to increasing diversity in the AI workforce,Social value,SHOULD,To enable public sector organisations to commit to increasing the diversity in the AI workforce and support efforts to address this.,True
European Commission DG CNECT,needs to design<ET> develop<ET> and deploy,two public-facing chatbots to support implementation of the Digital Services Act and the AI Act,Strategic objective,MUST,This call for tenders concerns the design<ET> development<ET> piloting<ET> delivery<ET> and maintenance of two public-facing chatbots to support the implementation and enforcement of both the Digital Services Act (DSA) and the AI Act.,True
DSA chatbot,must guide users,through key concepts of the DSA<ET> provide tailored procedural advice<ET> and support real-world engagement with platforms and authorities,Functional,MUST,The DSA chatbot will guide users (mainly citizens) through key concepts<ET> provide tailored procedural advice<ET> and support real-world engagement with platforms and authorities.,True
AI Act chatbot,must help,SMEs<ET> start-ups<ET> and stakeholders understand the AI Act and provide practical guidance on classification and compliance steps,Functional,MUST,This AI Act chatbot will help SMEs<ET> start-ups<ET> and other stakeholders understand the provisions of the regulation and will provide tailored<ET> practical guidance on its application.,True
Both chatbots,must employ,context-aware assistance by tailoring responses based on query nature<ET> platform type<ET> and user location or language,Functional,MUST,The chatbots shall employ smart<ET> context-aware assistance. They must tailor responses based on the nature of the query<ET> platform type<ET> and user location or language.,True
Both chatbots,must support,intent recognition and dialogue management to identify the purpose behind user queries,Functional,MUST,Support intent recognition and dialogue management<ET> by identifying the purpose behind user queries using simple<ET> predefined categories<ET> such as asking for information<ET> reporting an issue<ET> or requesting guidance.,True
Both chatbots,must rely exclusively on,official<ET> verifiable EU sources such as legal texts and Commission guidance for all content,Quality,MUST,Rely exclusively on official<ET> verifiable EU sources (e.g. legal texts of the DSA and the AI Act<ET> Commission guidance<ET> implementing and delegated acts<ET> etc.).,True
Both chatbots,must inform users,that they are interacting with an AI-based chatbot<ET> not a human<ET> to comply with AI Act transparency obligations,Governance,MUST,Information to users that they are interacting with an AI-based chatbot<ET> not a human (to comply with the transparency obligations under the AI Act).,True
DSA chatbot,must not provide,any assessment or judgement on whether a specific platform or conduct is in compliance with the DSA,Governance,MUST,The chatbot shall not provide<ET> under any circumstance<ET> an assessment<ET> judgement<ET> or opinion on whether a specific platform<ET> service provider<ET> or piece of conduct is in compliance with the Digital Services Act.,True
Contractor,must maintain,continued availability and functionality including regular security updates<ET> vulnerability management<ET> and bug correction,Maintenance,MUST,Maintenance shall include not only ensuring the continued availability and functionality of the system but also implementing regular security updates<ET> vulnerability management<ET> and the correction of bugs or errors.,True
System,must comply with,GDPR and EU institutional data protection requirements for user data processing,Compliance,MUST,The privacy statement presented to users must clearly indicate the absence of profiling<ET> automated decision-making producing legal effects<ET> and evaluation of personal aspects.,True
Both chatbots,must apply,layered navigation to provide digestible content with the option for deeper exploration,Functional,MUST,Apply layered navigation (e.g. progressive disclosure) to provide digestible content with the option for deeper exploration.,True
Department for Education,needs to procure,generative AI hackathon and research services to test AI use cases in education,Strategic objective,MUST,The project is the Generative Artificial Intelligence Hackathon Research Project procured under the RM6200 AI DPS framework with ITT reference number ITT_35870.,True
Vendor,must outline,their approach to delivery of the project including methodology and timelines,Delivery,MUST,Outline your approach to delivery of this project is a required response in the proposal.,True
Vendor,must outline,their approach to ethics<ET> safeguarding<ET> data protection<ET> and intellectual property in delivering the project,Governance,MUST,Outline your approach to ethics<ET> safeguarding<ET> data protection<ET> and intellectual property is a required proposal section.,True
Vendor,must provide,a sound methodology for setting success criteria<ET> testing use cases<ET> generating training datasets<ET> training models<ET> and analysing findings,Methodology,MUST,Provide a sound methodology for setting success criteria<ET> testing use cases<ET> generation of training dataset<ET> training model<ET> and analysis of findings<ET> as well as how you will conduct the hackathons and user testing elements.,True
Vendor,must demonstrate,expertise in and understanding of generative AI including specific tools to be used for testing education use cases,Selection,MUST,Demonstrate your organisation's expertise in<ET> and understanding of<ET> generative AI. Provide examples of which generative AI tools may you use to test the education use cases.,True
Vendor,must demonstrate,skills in training and optimising generative AI across a range of use cases,Selection,MUST,Demonstrate your organisation's skills in<ET> and experience of<ET> successfully training and optimising generative AI across a range of use cases<ET> and how you will apply it to this activity.,True
Vendor,must demonstrate,skills in the creation of dummy<ET> synthetic or open-source datasets,Selection,MUST,Demonstrate your organisation's skills in<ET> and experience of<ET> the creation of dummy<ET> synthetic or open-source data-sets<ET> and how you will apply it to this requirement.,True
Vendor,must demonstrate,skills in user testing<ET> management of participants<ET> and event facilitation,Selection,MUST,Demonstrate your organisation's skills in<ET> and experience of<ET> user testing<ET> management of participants<ET> and event facilitation<ET> and how you will apply it to this activity.,True
Vendor,must provide,access to the trained model to the Department for 12 months post-final report for testing in an education setting,Deliverable,MUST,Describe how you will provide access to the trained model to the Department for 12 months post-final report<ET> for the purposes of testing in an Education setting.,True
Vendor,must deliver,additional environmental benefits in the performance of the contract including working towards net zero greenhouse gas emissions,Social value,MUST,Deliver additional environmental benefits in the performance of the contract including working towards net zero greenhouse gas emissions.,True
Bureau of the Treasury Philippines,needs to procure,Microsoft 365 Copilot and Project Management Tool licenses to support intelligent automation for staff,Strategic objective,MUST,The project aims to procure Microsoft 365 Copilot and Project Management Tool Licenses for the Bureau of the Treasury (BTr).,True
Microsoft 365 Copilot,must support,intelligent automation for BTr staff,Functional,MUST,The Microsoft 365 Copilot will support intelligent automation.,True
Microsoft 365 Copilot,must provide,context-aware suggestions to assist staff in their work,Functional,MUST,Provide context-aware suggestions.,True
Microsoft 365 Copilot,must assist in,transcribing<ET> summarizing<ET> and generating insights from meetings,Functional,MUST,Assist in transcribing<ET> summarizing<ET> and generating insights from meetings.,True
Project management tool,must streamline,tasks<ET> automate workflows<ET> and improve team collaboration,Functional,MUST,Project management tool will streamline tasks<ET> automate workflows<ET> and will improve team collaboration.,True
Microsoft 365 Copilot,must include,all features of Copilot for Microsoft 365,Functional,MUST,All features of Copilot for Microsoft 365 must be included.,True
Licenses,must be added,to the existing Microsoft 365 subscriptions of the Bureau,Integration,MUST,The product licenses must be added to the existing M365 subscriptions of the Bureau.,True
Vendor,must be,a certified partner for the product being offered with supporting documentation,Selection,MUST,The vendor must be a certified partner for the product being offered. Must submit certificate/s as proof.,True
Vendor,must provide,8x5 technical support service via email<ET> phone<ET> or online as needed during the subscription period,Maintenance,MUST,8 x 5 technical support service via email/phone/online as the need arises.,True
Vendor,must provide,security and software updates within the subscription period,Maintenance,MUST,Security and software updates within the subscription period.,True
PRDEDC,seeks a strategic partner to,design<ET> develop<ET> and implement a bilingual AI-powered chatbot within six months to provide clear guidance on permits<ET> regulatory requirements<ET> and incentives,Strategic objective,MUST,Through this RFP<ET> PRDEDC seeks a strategic partner to design<ET> develop<ET> and implement a bilingual<ET> AI-powered chatbot within six (6) months. The chatbot will be embedded in the Single Business Portal (SBP)<ET> the Incentives Platform<ET> and other relevant touchpoints<ET> providing clear guidance on permits<ET> regulatory requirements<ET> and all available incentives.,True
AI chatbot,must provide,accurate<ET> context-aware guidance on permits<ET> incentives<ET> and other PRDEDC service offerings,Functional,MUST,Domain 1 Required Services: Provide accurate<ET> context-aware guidance on permits<ET> incentives<ET> and any other service offering.,True
AI chatbot,must be implemented as,a bilingual (Spanish/English) solution supporting 50+ languages embedded across SBP<ET> the Incentives Platform<ET> website<ET> and WhatsApp,Functional,MUST,Design and implement a bilingual (Spanish/English) AI-powered chatbot for SBP<ET> the Incentives Platform<ET> and other touchpoints. AI models should include automatic multilingual support (50+ languages) without extra cost.,True
AI chatbot,must include,admin tools for content governance and version control,Knowledge management,MUST,Include admin tools for content governance and version control.,True
AI system,must implement,AI guardrails to prevent misinformation and bias throughout all chatbot interactions,Governance,MUST,Implement AI guardrails to prevent misinformation and bias.,True
Contractor,must map,business processes and dependencies for permits and incentives,Knowledge management,MUST,Domain 2 Required Services: Map business processes and dependencies for permits and incentives.,True
Contractor,must develop,a structured knowledge base for permits<ET> incentives<ET> and related processes,Knowledge management,MUST,Develop a structured knowledge base for permits<ET> incentives<ET> and related processes.,True
Contractor,must establish,governance processes for content updates and version control for long-term maintainability,Knowledge management,MUST,Establish governance processes for content updates and version control. Implement a maintainable knowledge base for future updates.,True
AI system,must comply with,NIST<ET> PR Ley 40<ET> PRITS<ET> ISO/IEC 42001<ET> and FTC guidelines through a compliance-first approach,Compliance,MUST,Domain 3 Required Services: Implement compliance-first approach aligned with NIST<ET> PR Ley 40<ET> PRITS<ET> ISO/IEC 42001<ET> FTC guidelines.,True
AI system,must achieve,at least 90% factual correctness in User Acceptance Testing before production deployment,Quality,MUST,Chatbot accuracy must meet ≥90% factual correctness in UAT before production.,True
Contractor,must provide,a formal knowledge transfer and training plan for Agency personnel for long-term operation and maintenance,Training,MUST,The Proposer shall include a formal knowledge transfer and training plan for Agency-designated personnel<ET> focused on the long-term operation<ET> administration<ET> and maintenance of the solution following deployment and implementation.,True
AI chatbot,must be natively embedded,within the Single Business Portal and integrate via secure APIs with existing authentication mechanisms,Integration,MUST,The chatbot must be natively embedded within SBP. All integrations must use secure APIs and existing authentication mechanisms.,True
AI system,must use,chatbot analytics to identify common pain points and improve services and governance continuously,Analytics,MUST,Use chatbot analytics to identify common pain points and improve processes continuously. Enable Data-Driven Decisions: Use chatbot analytics to improve services and strengthen governance.,True
Contractor,must plan and budget for,a hypercare period and ongoing maintenance with defined SLAs<ET> QA processes<ET> and performance tracking post-launch,Maintenance,MUST,The contractor must plan and budget for post-launch support<ET> including a hypercare period for stabilization immediately after go-live and ongoing maintenance and monitoring with defined SLAs<ET> QA processes<ET> and performance tracking.,True
